Country,ISO-code,Type,Value
Afghanistan,AFG,Total Vaccinations,3.086
Algeria,DZA,Total Vaccinations,9.455
Andorra,AND,Total Vaccinations,118.631
Angola,AGO,Total Vaccinations,5.69
Antigua and Barbuda,ATG,Total Vaccinations,74.444
Argentina,ARG,Total Vaccinations,90.631
Armenia,ARM,Total Vaccinations,8.077
Australia,AUS,Total Vaccinations,67.258
Austria,AUT,Total Vaccinations,117.12
Azerbaijan,AZE,Total Vaccinations,64.046
Bahrain,BHR,Total Vaccinations,145.572
Bangladesh,BGD,Total Vaccinations,14.706
Barbados,BRB,Total Vaccinations,69.028
Belarus,BLR,Total Vaccinations,28.413
Belgium,BEL,Total Vaccinations,139.21
Belize,BLZ,Total Vaccinations,56.74
Benin,BEN,Total Vaccinations,0.993
Bhutan,BTN,Total Vaccinations,134.373
Bolivia,BOL,Total Vaccinations,48.614
Bosnia and Herzegovina,BIH,Total Vaccinations,28.289
Botswana,BWA,Total Vaccinations,11.268
Brazil,BRA,Total Vaccinations,83.315
Brunei,BRN,Total Vaccinations,56.128
Bulgaria,BGR,Total Vaccinations,32.888
Burkina Faso,BFA,Total Vaccinations,0.472
Cambodia,KHM,Total Vaccinations,101.925
Cameroon,CMR,Total Vaccinations,1.607
Canada,CAN,Total Vaccinations,140.251
Cape Verde,CPV,Total Vaccinations,53.324
Central African Republic,CAF,Total Vaccinations,2.255
Chad,TCD,Total Vaccinations,0.315
Chile,CHL,Total Vaccinations,141.174
China,CHN,Total Vaccinations,132.083
Colombia,COL,Total Vaccinations,67.306
Comoros,COM,Total Vaccinations,31.902
Costa Rica,CRI,Total Vaccinations,79.17
Croatia,HRV,Total Vaccinations,80.26
Cuba,CUB,Total Vaccinations,114.41
Cyprus,CYP,Total Vaccinations,122.186
Czech Republic,CZE,Total Vaccinations,106.657
Democratic Republic of the Congo,COD,Total Vaccinations,0.104
Denmark,DNK,Total Vaccinations,145.956
Djibouti,DJI,Total Vaccinations,3.412
Dominican Republic,DOM,Total Vaccinations,101.583
East Timor,TLS,Total Vaccinations,42.23
Ecuador,ECU,Total Vaccinations,99.267
Egypt,EGY,Total Vaccinations,8.542
El Salvador,SLV,Total Vaccinations,92.6
Equatorial Guinea,GNQ,Total Vaccinations,23.466
Estonia,EST,Total Vaccinations,94.859
Eswatini,SWZ,Total Vaccinations,16.327
Ethiopia,ETH,Total Vaccinations,2.117
Fiji,FJI,Total Vaccinations,86.805
Finland,FIN,Total Vaccinations,122.655
France,FRA,Total Vaccinations,132.201
Gabon,GAB,Total Vaccinations,5.74
Georgia,GEO,Total Vaccinations,28.726
Germany,DEU,Total Vaccinations,121.644
Ghana,GHA,Total Vaccinations,4.092
Greece,GRC,Total Vaccinations,105.82
Greenland,GRL,Total Vaccinations,124.605
Grenada,GRD,Total Vaccinations,37.756
Guatemala,GTM,Total Vaccinations,23.024
Guinea,GIN,Total Vaccinations,8.504
Guyana,GUY,Total Vaccinations,59.528
Haiti,HTI,Total Vaccinations,0.278
Honduras,HND,Total Vaccinations,32.368
Hungary,HUN,Total Vaccinations,114.956
Iceland,ISL,Total Vaccinations,144.602
India,IND,Total Vaccinations,43.152
Indonesia,IDN,Total Vaccinations,33.462
Iran,IRN,Total Vaccinations,31.165
Iraq,IRQ,Total Vaccinations,8.376
Ireland,IRL,Total Vaccinations,136.276
Israel,ISR,Total Vaccinations,154.613
Italy,ITA,Total Vaccinations,129.134
Ivory Coast,CIV,Total Vaccinations,4.958
Jamaica,JAM,Total Vaccinations,16.783
Japan,JPN,Total Vaccinations,93.543
Jordan,JOR,Total Vaccinations,61.66
Kazakhstan,KAZ,Total Vaccinations,63.103
Kenya,KEN,Total Vaccinations,5.008
Kiribati,KIR,Total Vaccinations,11.695
Kuwait,KWT,Total Vaccinations,55.73
Kyrgyzstan,KGZ,Total Vaccinations,17.02
Laos,LAO,Total Vaccinations,41.848
Latvia,LVA,Total Vaccinations,78.179
Lebanon,LBN,Total Vaccinations,38.484
Lesotho,LSO,Total Vaccinations,9.42
Liberia,LBR,Total Vaccinations,2.248
Libya,LBY,Total Vaccinations,15.005
Liechtenstein,LIE,Total Vaccinations,110.571
Lithuania,LTU,Total Vaccinations,112.363
Luxembourg,LUX,Total Vaccinations,121.134
Madagascar,MDG,Total Vaccinations,0.711
Malawi,MWI,Total Vaccinations,4.857
Malaysia,MYS,Total Vaccinations,92.339
Mali,MLI,Total Vaccinations,1.464
Malta,MLT,Total Vaccinations,154.537
Marshall Islands,MHL,Total Vaccinations,63.005
Mauritania,MRT,Total Vaccinations,12.161
Mauritius,MUS,Total Vaccinations,116.675
Mexico,MEX,Total Vaccinations,64.125
Micronesia,FSM,Total Vaccinations,53.916
Moldova,MDA,Total Vaccinations,31.391
Mongolia,MNG,Total Vaccinations,130.646
Montenegro,MNE,Total Vaccinations,62.068
Morocco,MAR,Total Vaccinations,88.298
Mozambique,MOZ,Total Vaccinations,7.352
Myanmar,MMR,Total Vaccinations,8.191
Namibia,NAM,Total Vaccinations,11.691
Nepal,NPL,Total Vaccinations,30.207
Netherlands,NLD,Total Vaccinations,125.703
New Zealand,NZL,Total Vaccinations,50.58
Nicaragua,NIC,Total Vaccinations,9.748
Niger,NER,Total Vaccinations,2.031
Nigeria,NGA,Total Vaccinations,2.029
North Macedonia,MKD,Total Vaccinations,58.577
Norway,NOR,Total Vaccinations,125.852
Oman,OMN,Total Vaccinations,36.96
Pakistan,PAK,Total Vaccinations,23.081
Palau,PLW,Total Vaccinations,153.123
Palestine,PSE,Total Vaccinations,22.806
Panama,PAN,Total Vaccinations,95.587
Papua New Guinea,PNG,Total Vaccinations,1.6
Paraguay,PRY,Total Vaccinations,55.075
Peru,PER,Total Vaccinations,53.693
Philippines,PHL,Total Vaccinations,27.005
Poland,POL,Total Vaccinations,95.293
Portugal,PRT,Total Vaccinations,141.088
Republic of the Congo,COG,Total Vaccinations,3.175
Romania,ROU,Total Vaccinations,50.406
Russia,RUS,Total Vaccinations,54.472
Rwanda,RWA,Total Vaccinations,6.595
Saint Kitts and Nevis,KNA,Total Vaccinations,85.214
Saint Lucia,LCA,Total Vaccinations,34.451
Saint Vincent and the Grenadines,VCT,Total Vaccinations,24.058
Samoa,WSM,Total Vaccinations,62.979
Sao Tome and Principe,STP,Total Vaccinations,20.071
Saudi Arabia,SAU,Total Vaccinations,105.378
Senegal,SEN,Total Vaccinations,9.35
Serbia,SRB,Total Vaccinations,84.397
Seychelles,SYC,Total Vaccinations,141.972
Sierra Leone,SLE,Total Vaccinations,2.426
Singapore,SGP,Total Vaccinations,146.583
Slovakia,SVK,Total Vaccinations,82.66
Slovenia,SVN,Total Vaccinations,90.014
Solomon Islands,SLB,Total Vaccinations,10.424
Somalia,SOM,Total Vaccinations,1.831
South Africa,ZAF,Total Vaccinations,18.675
South Sudan,SSD,Total Vaccinations,0.509
Spain,ESP,Total Vaccinations,137.402
Sri Lanka,LKA,Total Vaccinations,84.523
Sudan,SDN,Total Vaccinations,1.892
Suriname,SUR,Total Vaccinations,54.452
Sweden,SWE,Total Vaccinations,119.989
Syria,SYR,Total Vaccinations,2.304
Tajikistan,TJK,Total Vaccinations,23.651
Tanzania,TZA,Total Vaccinations,0.366
Thailand,THA,Total Vaccinations,38.77
The Bahamas,BHS,Total Vaccinations,32.808
The Gambia,GMB,Total Vaccinations,7.829
Togo,TGO,Total Vaccinations,6.469
Tonga,TON,Total Vaccinations,63.039
Trinidad and Tobago,TTO,Total Vaccinations,62.866
Tunisia,TUN,Total Vaccinations,47.779
Turkey,TUR,Total Vaccinations,109.926
Turkmenistan,TKM,Total Vaccinations,0.696
Uganda,UGA,Total Vaccinations,2.544
Ukraine,UKR,Total Vaccinations,20.328
United Arab Emirates,ARE,Total Vaccinations,182.957
United Kingdom,GBR,Total Vaccinations,131.8
United States,USA,Total Vaccinations,110.971
Uruguay,URY,Total Vaccinations,156.498
Uzbekistan,UZB,Total Vaccinations,36.163
Vanuatu,VUT,Total Vaccinations,12.449
Venezuela,VEN,Total Vaccinations,32.181
Vietnam,VNM,Total Vaccinations,16.752
Yemen,YEM,Total Vaccinations,1.044
Zambia,ZMB,Total Vaccinations,2.74
Zimbabwe,ZWE,Total Vaccinations,25.382
